book_id,author_id,book_genre,reader_id,num_pages,book_rating,publisher_id,publish_year,book_price,text_lang
2671,204,8,17316,191,2,26,2002,149,7
2212,95,4,17605,659,8,29,2009,88,7
777,215,7,109,223,6,14,2001,116,4
372,275,1,18465,618,5,10,2011,125,4
1476,222,10,23128,619,5,4,2012,136,5
1796,425,3,23157,641,7,18,2020,112,4
1122,75,3,10627,602,6,18,2021,77,1
2423,60,7,22715,698,7,14,2016,93,3
2108,266,1,4085,553,9,13,2000,132,2
989,35,8,11663,559,3,31,2021,147,6
820,353,5,10996,684,1,17,2006,111,2
690,197,10,22396,639,3,14,2006,136,1
2645,430,3,21328,356,3,21,2014,184,4
1779,82,6,21272,357,2,36,2019,163,6
2637,325,5,6138,300,3,20,2018,143,1
2746,61,2,192,351,2,22,2005,31,3
1858,153,7,8995,384,8,38,2015,78,3
987,148,10,12378,241,2,27,2018,9,3
1573,417,9,29629,661,4,8,2002,51,1
2201,257,1,22318,456,8,23,2015,123,3
88,262,9,3956,295,7,23,2002,94,3
213,175,1,15286,77,2,10,2002,165,2
2678,420,9,21667,227,1,27,2017,109,1
2822,225,6,16576,168,3,50,2012,79,7
917,270,9,20097,200,2,39,2001,97,3
2279,79,7,29349,91,2,50,2017,130,3
1248,224,8,17442,514,7,28,2002,104,7
827,403,8,10538,169,4,4,2012,94,6
170,413,7,13557,398,5,39,2012,119,3
2609,228,10,14292,264,8,22,2019,66,4
2698,255,7,16464,684,9,22,2004,96,4
1430,208,1,24488,508,5,15,2014,91,3
2393,249,4,4686,148,7,50,2017,127,2
224,322,4,17420,154,1,35,2015,149,5
1718,367,8,1947,544,7,38,2018,131,5
1199,361,9,10916,286,7,31,2006,148,1
1256,211,7,6896,231,9,1,2005,162,5
2217,423,2,21069,639,5,39,2019,29,2
2890,327,1,29980,199,10,5,2020,194,2
895,343,3,18698,418,7,1,2016,5,1
409,73,6,1104,438,9,38,2017,84,2
1875,105,9,1927,505,8,13,2003,3,5
233,31,1,3641,576,6,25,2018,136,4
2530,395,2,17343,698,2,33,2013,154,6
10,13,6,3543,360,7,6,2017,197,3
1225,392,2,14899,137,8,13,2012,56,5
378,94,10,12352,413,6,38,2018,70,4
1943,358,5,1064,135,6,40,2001,136,1
2407,378,2,10854,267,7,33,2004,196,3
130,420,4,29264,233,4,27,2000,64,1
1007,103,1,20471,224,6,27,2016,185,7
1340,186,7,27264,545,2,9,2021,66,1
2142,363,4,3260,338,4,47,2002,58,7
1263,130,5,2059,164,8,30,2019,75,2
935,209,7,11277,365,6,8,2018,66,7
2916,62,1,25577,690,8,10,2009,24,7
120,351,2,17936,522,4,19,2003,70,5
833,25,1,25403,448,9,5,2014,108,2
2362,413,9,4008,443,8,45,2001,182,5
809,204,8,23750,413,4,29,2012,51,6
1026,345,4,18321,606,1,18,2021,200,5
994,202,9,16846,682,9,5,2015,181,6
559,186,4,13427,293,9,37,2000,108,7
2770,46,1,6639,385,6,13,2003,3,5
2897,96,3,18524,320,2,9,2009,120,7
824,135,6,9152,589,3,13,2003,5,3
2920,260,8,25596,188,2,19,2020,89,1
1149,71,9,27941,182,2,41,2007,135,7
1512,305,1,16254,189,9,16,2008,32,7
131,239,4,28805,677,8,17,2000,158,5
1138,194,4,24256,417,8,22,2001,29,6
766,112,1,23375,437,1,33,2000,24,4
1425,411,8,14071,566,10,25,2019,156,4
2961,55,2,16182,217,7,10,2010,17,1
2989,135,9,7838,138,5,48,2007,77,7
861,411,7,4983,275,9,29,2007,15,1
937,393,3,17436,156,1,31,2009,153,2
736,92,6,19637,307,10,4,2019,127,3
1664,133,7,1779,551,8,23,2004,29,7
2254,195,3,597,184,6,13,2014,189,1
648,442,7,7401,174,8,42,2017,174,4
1390,330,9,309,289,9,17,2020,186,2
2080,135,6,20494,307,7,42,2010,59,3
2991,118,8,3168,519,5,8,2005,194,1
768,167,7,11075,117,4,11,2019,97,4
